,Contract,MonthlyCharges,tenure,Dependents,SeniorCitizen,InternetService,StreamingTV,StreamingMovies,TechSupport,OnlineSecurity,Churn
59,Two year,107.5,72,No,0,Fiber optic,Yes,Yes,Yes,No,No
60,Month-to-month,100.5,47,No,0,Fiber optic,Yes,Yes,No,No,No
61,Month-to-month,89.9,60,No,0,Fiber optic,Yes,No,No,No,No
62,Two year,42.1,72,No,0,DSL,No,No,No,Yes,No
63,One year,54.4,18,Yes,0,DSL,No,No,Yes,No,No
64,Month-to-month,94.4,9,No,0,Fiber optic,Yes,Yes,No,No,Yes
65,Month-to-month,75.3,3,No,0,DSL,Yes,Yes,Yes,No,No
66,One year,78.9,47,No,0,Fiber optic,No,No,No,No,No
67,Two year,79.2,31,No,0,DSL,Yes,Yes,Yes,No,No
68,Two year,20.15,50,Yes,0,No,No,No,No,No,No
69,Month-to-month,79.85,10,No,0,Fiber optic,No,No,No,Yes,No
70,Month-to-month,49.05,1,No,0,DSL,No,No,Yes,No,No
71,One year,20.4,52,Yes,0,No,No,No,No,No,No
72,Two year,111.6,64,Yes,1,Fiber optic,Yes,Yes,Yes,Yes,No
73,Two year,24.25,62,Yes,0,No,No,No,No,No,No
74,Month-to-month,64.5,3,Yes,0,DSL,No,Yes,Yes,Yes,No
75,One year,110.5,56,No,1,Fiber optic,Yes,Yes,No,Yes,No
76,One year,55.65,46,No,0,DSL,No,Yes,No,No,No
77,Month-to-month,54.65,8,Yes,0,DSL,No,No,No,Yes,No
78,Month-to-month,74.75,30,No,1,DSL,Yes,Yes,No,Yes,No
79,One year,25.9,45,Yes,0,No,No,No,No,No,No
80,Month-to-month,79.35,1,Yes,0,Fiber optic,Yes,No,No,No,Yes
81,Month-to-month,50.55,11,Yes,0,DSL,Yes,Yes,No,Yes,No
82,Month-to-month,75.15,7,No,0,Fiber optic,No,No,No,No,Yes
83,Month-to-month,103.8,42,No,0,Fiber optic,Yes,Yes,Yes,No,No
84,Two year,20.15,49,No,0,No,No,No,No,No,No
85,Month-to-month,99.3,9,No,0,Fiber optic,Yes,Yes,No,No,No
86,One year,62.15,35,No,0,DSL,Yes,No,No,Yes,No
87,Two year,20.65,48,Yes,0,No,No,No,No,No,No
88,Two year,19.95,46,Yes,0,No,No,No,No,No,No
89,Month-to-month,33.75,29,No,0,DSL,Yes,No,No,No,No
90,Month-to-month,82.05,30,Yes,0,Fiber optic,No,No,No,No,No
91,Month-to-month,74.7,1,No,1,Fiber optic,No,No,Yes,No,No
92,Two year,84.0,66,Yes,0,DSL,Yes,Yes,Yes,Yes,No
93,Month-to-month,111.05,65,No,0,Fiber optic,Yes,Yes,No,Yes,No
94,Two year,100.9,72,No,0,Fiber optic,Yes,Yes,No,No,No
95,Month-to-month,78.95,12,No,0,Fiber optic,No,No,No,Yes,Yes
96,One year,66.85,71,Yes,0,DSL,No,No,Yes,Yes,No
97,Month-to-month,21.05,5,No,0,No,No,No,No,No,Yes
98,Two year,21.0,52,No,0,No,No,No,No,No,No
99,Month-to-month,98.5,25,No,1,Fiber optic,Yes,Yes,No,No,Yes
100,Month-to-month,20.2,1,No,0,No,No,No,No,No,No
101,Month-to-month,19.45,1,Yes,0,No,No,No,No,No,No
102,One year,95.0,38,No,0,Fiber optic,Yes,No,Yes,No,No
103,One year,45.55,66,No,1,DSL,Yes,No,No,No,No
104,Two year,110.0,68,No,0,Fiber optic,Yes,Yes,Yes,No,Yes
105,Month-to-month,24.3,5,No,0,DSL,No,No,No,No,No
106,One year,104.15,72,Yes,0,Fiber optic,Yes,Yes,No,Yes,No
107,One year,30.15,32,No,0,DSL,No,No,No,Yes,No
108,One year,94.35,43,No,0,Fiber optic,Yes,Yes,No,No,No
109,Two year,19.4,72,Yes,0,No,No,No,No,No,No
110,Month-to-month,96.75,55,No,0,Fiber optic,Yes,No,No,Yes,Yes
111,One year,57.95,52,No,0,DSL,No,No,Yes,Yes,No
112,Month-to-month,91.65,43,No,0,Fiber optic,Yes,No,No,No,No
113,Month-to-month,76.5,37,No,1,Fiber optic,No,No,No,No,Yes
114,Two year,54.6,64,Yes,0,DSL,Yes,Yes,Yes,No,No
115,Month-to-month,89.85,3,Yes,0,Fiber optic,Yes,No,No,Yes,No
116,Two year,31.05,36,No,0,DSL,No,No,No,Yes,No
117,Month-to-month,100.25,10,Yes,0,Fiber optic,Yes,Yes,No,Yes,Yes
118,Two year,20.65,41,No,0,No,No,No,No,No,No
119,Month-to-month,85.2,27,Yes,0,Fiber optic,No,No,Yes,No,No
120,One year,99.8,56,Yes,0,Fiber optic,Yes,Yes,No,No,No
121,Month-to-month,20.7,6,No,0,No,No,No,No,No,No
122,Month-to-month,74.4,3,No,0,Fiber optic,No,No,No,No,Yes
123,Month-to-month,50.7,7,Yes,0,DSL,No,No,No,Yes,No
124,Month-to-month,20.85,4,Yes,0,No,No,No,No,No,No
125,Two year,88.95,33,No,0,Fiber optic,Yes,No,Yes,Yes,No
126,Month-to-month,78.05,27,No,1,Fiber optic,No,No,No,No,Yes
127,Two year,23.55,72,No,0,No,No,No,No,No,No
128,Month-to-month,19.75,1,No,0,No,No,No,No,No,No
129,One year,56.45,71,No,1,DSL,Yes,Yes,No,Yes,No
130,Month-to-month,85.95,13,No,0,Fiber optic,No,Yes,No,No,No
131,Month-to-month,58.6,25,Yes,0,DSL,Yes,Yes,No,Yes,Yes
132,Two year,50.55,67,No,0,DSL,No,No,Yes,No,No
133,Month-to-month,35.45,1,No,0,DSL,No,Yes,No,No,Yes
134,Month-to-month,44.35,2,No,0,DSL,No,No,No,No,Yes
135,Two year,25.7,43,No,0,No,No,No,No,No,No
136,Month-to-month,75.0,23,No,0,Fiber optic,No,No,No,Yes,No
137,Two year,20.2,64,Yes,0,No,No,No,No,No,No
138,Two year,19.6,57,Yes,0,No,No,No,No,No,No
139,Month-to-month,70.45,1,No,1,Fiber optic,No,No,No,No,Yes
140,Two year,88.05,72,Yes,1,DSL,Yes,Yes,Yes,Yes,No
141,Month-to-month,71.15,8,No,0,DSL,No,Yes,Yes,Yes,Yes
142,Two year,101.05,61,No,0,Fiber optic,Yes,Yes,No,No,No
143,One year,84.3,64,No,0,Fiber optic,No,No,No,Yes,No
144,Two year,23.95,71,No,1,No,No,No,No,No,No
145,Two year,99.05,65,Yes,0,Fiber optic,Yes,No,Yes,Yes,No
146,One year,19.6,3,No,0,No,No,No,No,No,No
147,Month-to-month,45.65,1,No,0,DSL,No,No,No,No,Yes
148,One year,64.5,30,Yes,0,DSL,Yes,No,No,No,No
149,Month-to-month,69.5,15,Yes,0,DSL,No,Yes,Yes,No,No
150,Month-to-month,68.55,8,Yes,0,DSL,Yes,Yes,Yes,No,No
151,Month-to-month,95.0,7,No,0,Fiber optic,Yes,Yes,No,No,Yes
152,One year,108.15,70,Yes,0,Fiber optic,Yes,Yes,No,Yes,No
153,Two year,86.1,62,Yes,0,DSL,Yes,Yes,Yes,Yes,No
154,Month-to-month,19.7,6,Yes,0,No,No,No,No,No,No
155,Month-to-month,80.9,14,Yes,0,Fiber optic,No,Yes,No,No,No
156,Month-to-month,84.15,22,No,0,Fiber optic,Yes,No,No,No,No
157,One year,20.15,22,Yes,0,No,No,No,No,No,No
158,Two year,64.25,16,Yes,0,DSL,Yes,No,No,Yes,No
159,Two year,25.7,10,No,0,No,No,No,No,No,No
160,Month-to-month,56.0,13,Yes,0,DSL,No,No,No,Yes,No
161,Month-to-month,82.4,20,No,0,Fiber optic,No,No,No,Yes,Yes
162,Month-to-month,69.7,2,No,0,Fiber optic,No,No,No,No,No
163,Two year,73.9,53,No,0,DSL,No,Yes,Yes,No,No
164,One year,20.6,11,Yes,0,No,No,No,No,No,No
165,Two year,19.9,69,No,0,No,No,No,No,No,No
166,Month-to-month,70.9,4,No,0,Fiber optic,No,No,No,No,Yes
167,Two year,89.05,72,No,0,DSL,Yes,Yes,Yes,Yes,No
168,Month-to-month,45.3,58,No,1,DSL,No,Yes,No,No,Yes
169,Month-to-month,20.4,16,Yes,0,No,No,No,No,No,No
170,One year,84.25,43,No,0,Fiber optic,No,No,Yes,Yes,No
171,Month-to-month,104.4,2,No,0,Fiber optic,Yes,Yes,Yes,No,Yes
172,Two year,81.95,14,No,0,DSL,Yes,Yes,Yes,No,No
173,One year,94.85,53,No,0,Fiber optic,Yes,Yes,No,No,Yes
174,One year,20.55,32,No,0,No,No,No,No,No,No
175,Month-to-month,24.7,34,No,0,No,No,No,No,No,No
176,Month-to-month,74.45,15,No,1,Fiber optic,No,No,No,No,Yes
177,Month-to-month,76.45,7,No,1,Fiber optic,No,No,No,Yes,Yes
178,Month-to-month,105.35,15,Yes,0,Fiber optic,Yes,Yes,No,No,No
179,One year,20.55,61,No,0,No,No,No,No,No,No
180,Month-to-month,29.95,1,No,0,DSL,No,No,No,No,Yes
181,Month-to-month,45.3,1,No,0,DSL,No,No,No,No,No
182,Month-to-month,84.5,8,No,0,Fiber optic,No,Yes,No,No,Yes
183,One year,74.75,33,Yes,0,DSL,Yes,Yes,No,Yes,No
184,Month-to-month,79.25,13,No,0,Fiber optic,No,No,No,No,Yes
185,Month-to-month,24.8,1,No,0,DSL,No,No,No,No,Yes
186,Month-to-month,51.8,20,No,0,DSL,No,No,No,No,No
187,Month-to-month,30.4,3,No,0,DSL,No,No,Yes,No,No
188,One year,19.65,13,No,0,No,No,No,No,No,No
189,Month-to-month,56.6,40,No,0,DSL,No,No,No,No,No
190,One year,71.9,43,Yes,0,DSL,No,Yes,Yes,Yes,No
191,Month-to-month,91.0,6,No,0,Fiber optic,No,Yes,No,No,Yes
192,Two year,19.75,69,Yes,0,No,No,No,No,No,No
193,Two year,109.7,72,Yes,0,Fiber optic,Yes,Yes,No,Yes,No
194,Two year,19.3,59,Yes,0,No,No,No,No,No,No
195,Month-to-month,96.55,20,No,0,Fiber optic,Yes,No,Yes,Yes,No
196,Two year,24.1,24,Yes,0,No,No,No,No,No,No
197,Month-to-month,111.35,59,No,0,Fiber optic,Yes,Yes,Yes,No,No
198,Two year,112.25,72,Yes,0,Fiber optic,Yes,Yes,Yes,No,No
199,Month-to-month,20.75,1,Yes,0,No,No,No,No,No,No
200,One year,101.9,27,No,0,Fiber optic,Yes,Yes,Yes,Yes,No
201,Month-to-month,80.05,14,No,0,Fiber optic,No,No,Yes,No,No
202,Two year,105.55,71,Yes,0,Fiber optic,Yes,Yes,No,Yes,No
203,Month-to-month,78.3,13,Yes,0,Fiber optic,Yes,No,No,No,No
204,Month-to-month,68.85,44,No,0,Fiber optic,No,No,No,No,No
205,One year,79.95,33,No,0,Fiber optic,No,No,Yes,No,No
206,Two year,55.45,72,Yes,0,DSL,No,Yes,Yes,Yes,No
207,Month-to-month,79.9,1,No,0,Fiber optic,No,Yes,No,No,Yes
208,Month-to-month,106.6,19,No,0,Fiber optic,Yes,Yes,Yes,Yes,Yes
209,One year,102.45,64,No,0,Fiber optic,Yes,Yes,Yes,No,No
210,Month-to-month,46.0,2,No,0,DSL,No,No,No,No,Yes
211,Month-to-month,25.25,1,No,0,DSL,No,No,No,No,No
212,Two year,19.75,61,Yes,0,No,No,No,No,No,No
213,One year,20.0,29,Yes,0,No,No,No,No,No,No
214,Month-to-month,86.8,23,No,1,Fiber optic,No,Yes,No,No,No
215,Month-to-month,58.75,57,No,0,DSL,Yes,Yes,No,Yes,No
216,Two year,45.25,72,Yes,0,DSL,No,No,Yes,Yes,No
217,Two year,56.6,66,No,0,DSL,Yes,No,Yes,Yes,No
218,Two year,84.2,65,Yes,0,DSL,Yes,Yes,Yes,No,No
219,Month-to-month,80.0,8,No,0,Fiber optic,Yes,No,No,No,No
220,Month-to-month,70.15,4,No,0,Fiber optic,No,No,No,No,Yes
221,Two year,24.75,71,No,0,No,No,No,No,No,No
222,One year,20.2,1,Yes,0,No,No,No,No,No,No
223,Month-to-month,50.05,4,No,0,DSL,No,No,Yes,No,Yes
224,One year,19.35,12,No,0,No,No,No,No,No,No
225,One year,50.6,24,No,0,DSL,Yes,Yes,No,Yes,No
226,One year,81.15,31,Yes,0,DSL,Yes,Yes,Yes,Yes,No
227,Month-to-month,55.2,1,No,0,DSL,Yes,No,No,No,Yes
228,Month-to-month,89.9,30,No,0,Fiber optic,No,Yes,Yes,No,No
229,Two year,85.3,47,Yes,0,DSL,Yes,Yes,Yes,Yes,No
230,Two year,108.0,54,No,0,Fiber optic,Yes,Yes,Yes,Yes,No
231,Month-to-month,93.5,50,No,0,Fiber optic,No,Yes,Yes,Yes,No
232,Month-to-month,84.6,1,No,0,Fiber optic,No,Yes,No,Yes,Yes
233,Two year,20.25,72,No,0,No,No,No,No,No,No
234,Month-to-month,25.15,29,No,0,No,No,No,No,No,No
235,Month-to-month,54.4,2,No,0,DSL,No,No,No,No,Yes
236,Two year,29.6,10,No,0,DSL,No,No,Yes,No,No
237,Month-to-month,73.15,18,No,0,Fiber optic,No,No,No,No,No
238,Month-to-month,95.0,11,No,1,Fiber optic,Yes,Yes,No,No,Yes
239,Two year,19.75,16,No,0,No,No,No,No,No,No
240,Two year,86.6,72,No,0,DSL,Yes,Yes,Yes,No,No
241,Two year,109.2,72,No,0,Fiber optic,Yes,Yes,Yes,No,No
242,One year,74.7,41,Yes,0,DSL,Yes,Yes,Yes,Yes,No
243,Month-to-month,94.4,65,No,1,Fiber optic,No,Yes,No,Yes,No
244,Month-to-month,54.8,13,No,1,DSL,No,No,No,No,No
245,Month-to-month,75.35,4,No,1,Fiber optic,No,No,No,Yes,No
246,One year,65.0,41,No,0,DSL,No,Yes,No,No,No
247,Month-to-month,74.4,15,No,1,Fiber optic,No,No,No,No,Yes
248,Month-to-month,48.55,1,No,0,DSL,No,No,No,Yes,Yes
249,One year,99.0,42,No,0,Fiber optic,No,Yes,No,Yes,No
250,One year,93.5,51,No,0,Fiber optic,Yes,No,No,Yes,No
251,Month-to-month,70.4,2,Yes,0,Fiber optic,No,No,No,No,Yes
252,Month-to-month,40.2,1,No,1,DSL,Yes,No,No,No,Yes
253,One year,83.7,32,Yes,0,DSL,Yes,Yes,Yes,No,No
254,Month-to-month,19.85,10,No,0,No,No,No,No,No,No
255,Two year,59.55,67,Yes,0,DSL,Yes,Yes,Yes,No,No
256,Two year,115.1,61,Yes,0,Fiber optic,Yes,Yes,Yes,Yes,No
257,One year,114.35,50,No,0,Fiber optic,Yes,Yes,Yes,Yes,No
258,Month-to-month,44.6,2,No,0,DSL,No,No,No,No,Yes
259,Month-to-month,45.0,29,No,1,DSL,No,Yes,No,Yes,No
260,Month-to-month,41.15,3,No,1,DSL,No,Yes,No,No,Yes
261,Month-to-month,106.9,13,No,1,Fiber optic,Yes,Yes,No,No,Yes
262,Month-to-month,89.85,57,No,1,Fiber optic,No,Yes,No,No,No
263,Two year,49.85,31,No,0,DSL,No,Yes,Yes,Yes,No
264,One year,113.3,45,No,0,Fiber optic,Yes,Yes,Yes,Yes,No
265,Two year,88.1,61,Yes,0,DSL,Yes,Yes,Yes,Yes,No
266,Two year,24.9,50,No,0,No,No,No,No,No,No
267,Month-to-month,105.0,19,No,1,Fiber optic,Yes,Yes,Yes,Yes,No
268,Two year,19.35,59,No,0,No,No,No,No,No,Yes
269,Two year,24.25,71,No,0,No,No,No,No,No,No
270,Month-to-month,94.45,16,No,1,Fiber optic,Yes,Yes,Yes,No,Yes
271,Two year,59.75,57,No,0,DSL,No,No,Yes,Yes,No
272,Month-to-month,24.8,1,No,0,DSL,No,No,No,No,Yes
273,Month-to-month,107.05,20,No,1,Fiber optic,Yes,Yes,Yes,No,No
274,Month-to-month,70.6,1,No,0,Fiber optic,No,No,No,No,Yes
275,Month-to-month,85.4,5,No,0,Fiber optic,No,No,Yes,No,Yes
276,Month-to-month,105.05,52,No,0,Fiber optic,Yes,Yes,No,No,Yes
277,Month-to-month,64.95,21,No,1,DSL,No,Yes,No,Yes,No
278,Month-to-month,55.0,14,No,0,DSL,Yes,Yes,Yes,No,No
279,Month-to-month,50.55,5,No,0,DSL,No,No,No,No,No
280,Month-to-month,55.15,6,No,0,DSL,No,No,No,Yes,No
281,Month-to-month,51.2,10,No,0,DSL,No,No,No,No,No
282,Month-to-month,25.4,1,Yes,0,No,No,No,No,No,No
283,Month-to-month,54.45,68,No,0,DSL,No,No,No,Yes,No
284,Month-to-month,95.15,18,Yes,0,Fiber optic,Yes,Yes,No,No,Yes
285,One year,76.0,22,No,0,Fiber optic,No,No,No,No,No
286,Month-to-month,44.35,20,No,0,DSL,No,No,No,No,No
287,Month-to-month,70.0,1,No,0,Fiber optic,No,No,No,No,Yes
288,Month-to-month,74.5,8,No,1,Fiber optic,No,No,No,No,Yes
289,Month-to-month,44.85,10,No,0,DSL,No,No,No,No,Yes
290,Month-to-month,76.1,24,No,1,Fiber optic,No,No,No,No,Yes
291,One year,61.2,35,No,0,DSL,No,No,No,Yes,No
292,One year,86.8,23,Yes,0,Fiber optic,No,No,Yes,No,No
293,Month-to-month,89.35,6,No,1,Fiber optic,Yes,Yes,No,No,No
294,Month-to-month,19.7,12,No,0,No,No,No,No,No,No
295,Month-to-month,20.25,1,No,0,No,No,No,No,No,No
296,Two year,76.05,71,Yes,0,Fiber optic,No,No,No,No,No
297,Month-to-month,100.8,35,No,1,Fiber optic,Yes,Yes,No,No,No
298,Month-to-month,74.55,40,Yes,0,DSL,Yes,Yes,No,No,No
299,Month-to-month,73.6,1,Yes,0,Fiber optic,No,No,No,Yes,Yes
300,One year,64.9,23,No,0,DSL,Yes,Yes,No,No,No
301,Month-to-month,95.45,4,No,1,Fiber optic,Yes,Yes,No,No,Yes
302,Month-to-month,90.4,4,No,0,Fiber optic,No,Yes,Yes,No,No
303,Two year,60.3,68,Yes,0,DSL,Yes,Yes,Yes,No,No
304,Month-to-month,81.85,38,Yes,0,Fiber optic,No,No,No,No,No
305,Two year,24.8,52,Yes,0,No,No,No,No,No,No
306,Month-to-month,74.9,32,No,1,Fiber optic,No,No,No,No,Yes
307,Two year,75.55,29,Yes,0,DSL,Yes,Yes,Yes,No,No
308,Month-to-month,101.15,38,Yes,1,Fiber optic,Yes,Yes,No,No,No
309,One year,78.75,48,Yes,0,DSL,Yes,Yes,No,Yes,No
310,Month-to-month,19.25,1,No,0,No,No,No,No,No,No
311,Month-to-month,89.05,22,No,0,Fiber optic,No,Yes,Yes,Yes,No
312,Two year,115.05,43,No,0,Fiber optic,Yes,Yes,Yes,Yes,No
313,Month-to-month,69.35,5,No,1,Fiber optic,No,No,No,No,No
314,Month-to-month,80.6,5,No,0,Fiber optic,Yes,No,No,No,Yes
315,One year,110.05,51,Yes,0,Fiber optic,Yes,Yes,Yes,Yes,No
316,Two year,19.9,71,No,0,No,No,No,No,No,No
317,One year,80.3,38,Yes,0,DSL,Yes,Yes,Yes,Yes,Yes
318,Month-to-month,93.15,24,No,1,Fiber optic,Yes,Yes,No,No,Yes
319,Month-to-month,91.5,35,No,0,Fiber optic,Yes,No,Yes,No,No
320,One year,82.45,54,No,1,DSL,Yes,Yes,Yes,Yes,Yes
321,Two year,60.0,72,Yes,0,DSL,Yes,Yes,Yes,No,No
322,Month-to-month,44.8,1,No,0,DSL,No,No,No,No,No
323,One year,48.6,9,Yes,0,DSL,No,No,No,Yes,No
324,Two year,60.05,69,No,0,DSL,Yes,Yes,Yes,Yes,No
325,Month-to-month,102.7,52,No,0,Fiber optic,Yes,Yes,Yes,No,No
326,Month-to-month,82.9,11,No,1,Fiber optic,Yes,No,Yes,No,No
327,Month-to-month,70.35,2,No,1,Fiber optic,No,No,No,No,Yes
328,Month-to-month,35.9,28,Yes,1,DSL,Yes,No,No,No,No
329,Month-to-month,82.65,17,No,1,Fiber optic,No,No,No,No,No
330,Two year,19.85,35,Yes,0,No,No,No,No,No,No
331,One year,19.2,8,No,0,No,No,No,No,No,No
332,One year,94.9,46,No,0,Fiber optic,Yes,No,No,No,No
333,Month-to-month,73.85,7,No,0,Fiber optic,No,No,No,No,Yes
334,Month-to-month,80.6,2,No,0,Fiber optic,No,No,No,No,Yes
335,One year,75.8,68,Yes,0,DSL,No,Yes,Yes,No,Yes
336,Two year,104.6,43,No,0,Fiber optic,Yes,Yes,No,No,Yes
337,Two year,88.15,68,No,0,DSL,Yes,Yes,Yes,Yes,No
338,Month-to-month,94.8,36,No,0,Fiber optic,Yes,Yes,No,No,No
339,Month-to-month,103.4,63,No,0,Fiber optic,Yes,Yes,No,No,Yes
340,Month-to-month,54.65,32,No,1,DSL,No,No,Yes,No,No
341,Two year,85.75,71,No,0,DSL,Yes,Yes,Yes,Yes,No
342,Month-to-month,67.45,66,Yes,0,DSL,No,No,No,Yes,No
343,One year,20.5,63,No,0,No,No,No,No,No,No
344,One year,20.25,41,Yes,0,No,No,No,No,No,No
345,Month-to-month,72.1,1,No,1,Fiber optic,No,No,No,No,No
346,Month-to-month,90.4,2,No,0,Fiber optic,Yes,Yes,No,No,Yes
347,Two year,19.45,70,No,0,No,No,No,No,No,No
348,Month-to-month,44.95,23,No,0,DSL,Yes,Yes,No,No,No
349,One year,97.0,64,No,1,Fiber optic,No,Yes,No,Yes,No
350,Two year,62.8,37,Yes,0,DSL,No,No,Yes,Yes,No
351,One year,44.6,17,Yes,0,DSL,No,No,No,No,No
352,Month-to-month,89.15,7,No,1,Fiber optic,Yes,Yes,No,No,No
353,Month-to-month,84.8,4,Yes,0,Fiber optic,No,No,No,No,Yes
354,Month-to-month,41.9,21,No,1,DSL,Yes,No,No,Yes,Yes
355,Month-to-month,80.25,10,No,0,Fiber optic,No,Yes,No,No,Yes
356,Month-to-month,54.1,16,No,1,DSL,No,No,No,Yes,No
357,Two year,105.25,64,No,0,Fiber optic,Yes,Yes,Yes,No,No
358,Month-to-month,30.75,27,No,1,DSL,No,No,No,Yes,Yes
359,One year,97.1,42,Yes,0,Fiber optic,Yes,Yes,No,Yes,No
360,Month-to-month,20.2,5,Yes,0,No,No,No,No,No,No
361,Two year,98.8,41,No,0,Fiber optic,Yes,Yes,Yes,No,No
362,One year,50.3,58,No,0,DSL,No,No,No,No,No
363,Two year,20.55,47,No,0,No,No,No,No,No,No
364,Month-to-month,75.9,18,No,0,Fiber optic,No,No,Yes,No,No
365,Month-to-month,96.5,5,No,0,Fiber optic,Yes,Yes,No,No,Yes
366,Month-to-month,59.95,23,No,0,DSL,No,Yes,No,Yes,No
367,Month-to-month,19.15,1,No,0,No,No,No,No,No,No
368,One year,98.65,71,No,0,Fiber optic,Yes,Yes,No,No,No
369,Two year,112.6,72,Yes,0,Fiber optic,Yes,Yes,Yes,Yes,No
370,One year,20.6,33,Yes,0,No,No,No,No,No,No
371,Month-to-month,85.65,2,No,0,Fiber optic,Yes,No,No,No,Yes
372,Two year,35.75,24,Yes,0,DSL,No,No,Yes,Yes,No
373,One year,99.75,56,Yes,0,Fiber optic,No,Yes,Yes,No,No
374,Month-to-month,96.1,37,No,0,Fiber optic,Yes,Yes,No,No,No
375,One year,85.1,43,No,0,DSL,Yes,Yes,Yes,No,No
376,Month-to-month,25.35,1,No,0,DSL,No,No,No,No,No
377,Month-to-month,104.95,25,No,0,Fiber optic,Yes,Yes,Yes,No,Yes
378,Two year,89.65,61,No,0,DSL,Yes,Yes,Yes,Yes,No
379,One year,86.75,17,No,0,Fiber optic,No,No,Yes,No,No
380,One year,86.2,41,No,0,Fiber optic,No,No,Yes,No,No
