,state,total_charge,international_plan,voice_mail_plan,number_customer_service_calls,churn
294,AK,57.47,no,no,2,no
295,MS,67.46,yes,no,2,yes
296,NM,47.63999999999999,no,yes,2,no
297,SC,56.05,no,yes,1,no
298,CO,78.49,yes,no,1,yes
299,DE,47.81,no,no,0,no
300,OH,53.830000000000005,no,yes,1,no
301,MS,61.800000000000004,no,no,2,no
302,OK,54.39,no,no,0,no
303,NC,61.1,no,no,4,no
304,MD,46.31,no,no,1,no
305,KS,40.52,no,no,1,no
306,NC,62.64,no,no,1,no
307,NM,62.57000000000001,no,no,2,no
308,CA,58.89,yes,no,0,yes
309,NY,55.09,no,no,2,no
310,SD,57.730000000000004,no,yes,0,no
311,DC,47.5,no,no,2,no
312,ND,63.370000000000005,no,no,1,no
313,MO,61.42,yes,no,1,yes
314,KS,61.720000000000006,no,no,2,no
315,SD,67.24,no,no,3,no
316,OK,49.78,no,no,1,no
317,OR,53.510000000000005,yes,no,0,no
318,IN,70.9,yes,yes,1,no
319,OH,56.580000000000005,no,no,2,no
320,KS,67.07,no,no,4,no
321,NH,58.92,no,no,1,no
322,WI,46.980000000000004,no,no,1,no
323,WV,59.00999999999999,no,no,1,no
324,MA,49.489999999999995,no,no,0,no
325,MD,60.57000000000001,no,no,5,no
326,PA,62.709999999999994,no,no,2,no
327,WI,63.99000000000001,no,no,0,yes
328,TN,60.09,no,yes,0,no
329,IL,50.36,no,no,1,no
330,DC,56.620000000000005,no,no,1,yes
331,ID,57.81,no,no,0,no
332,UT,48.559999999999995,no,yes,1,no
333,KY,58.980000000000004,no,no,1,no
334,WI,67.55,yes,no,0,no
335,IL,45.27,no,no,0,no
336,DE,51.3,no,no,4,yes
337,RI,49.08,yes,no,1,no
338,TX,56.209999999999994,no,no,2,no
339,OR,51.54,no,no,2,no
340,NV,40.85,no,no,2,no
341,NE,72.37,no,no,0,no
342,OR,49.23,no,no,0,no
343,DE,52.32,yes,no,1,yes
344,AZ,65.07,no,no,0,no
345,SD,51.519999999999996,no,yes,1,no
346,NV,68.66,no,no,2,no
347,NM,65.37,no,yes,2,no
348,MN,62.629999999999995,no,no,1,no
349,NJ,67.58999999999999,no,no,0,no
350,IN,66.09,no,yes,3,no
351,DC,57.74,no,yes,1,no
352,MA,57.790000000000006,yes,no,1,no
353,ME,38.56,no,no,1,no
354,NH,46.0,no,yes,1,no
355,AZ,55.59,no,no,3,no
356,OR,53.18,no,no,2,no
357,KS,73.47999999999999,no,no,2,yes
358,NE,62.48,no,no,1,no
359,MI,68.52,no,no,1,no
360,SC,48.25,no,no,2,no
361,PA,75.54,no,yes,0,no
362,MT,58.37,no,yes,1,no
363,OH,72.16,no,no,0,yes
364,WY,62.97,no,no,1,no
365,MI,51.830000000000005,no,no,2,no
366,AR,70.63,no,yes,1,no
367,FL,55.54,no,no,0,no
368,MO,64.87,no,no,1,no
369,WI,60.49,yes,no,2,no
370,TX,51.63,no,no,3,no
371,NM,68.84,no,no,2,no
372,ID,69.97,no,yes,4,no
373,AL,53.89,no,no,0,no
374,KS,70.34,no,yes,0,no
375,SD,57.879999999999995,no,no,0,no
376,LA,65.68,no,yes,1,no
377,OH,76.89,no,no,1,yes
378,MA,73.1,no,no,1,yes
379,AZ,42.09,no,no,2,no
380,KY,54.82,no,no,2,no
381,WA,48.43000000000001,no,no,0,no
382,UT,69.41,no,no,1,no
383,RI,58.04,no,no,3,no
384,OH,36.660000000000004,no,yes,1,no
385,NV,51.949999999999996,no,no,0,no
386,NV,52.739999999999995,yes,no,3,yes
387,FL,65.54,no,yes,3,yes
388,AL,61.93,no,yes,2,no
389,NE,65.67,no,no,1,no
390,NV,41.81,no,no,3,no
391,IL,31.52,no,no,1,no
392,WV,50.580000000000005,no,yes,4,yes
393,MI,63.78999999999999,no,yes,0,no
394,GA,49.17,no,yes,3,no
395,AZ,52.699999999999996,no,no,1,no
396,ID,58.029999999999994,no,no,2,no
397,HI,57.459999999999994,no,no,1,no
398,NV,53.11000000000001,no,no,1,no
399,MD,52.809999999999995,no,no,0,no
400,GA,56.82,no,no,2,no
401,GA,67.53,no,no,3,no
402,UT,42.56999999999999,no,yes,0,no
403,MA,65.2,yes,no,0,no
404,IN,70.57,no,no,0,no
405,VT,69.39999999999999,no,no,1,no
406,IA,53.54,no,no,1,no
407,AL,63.56,yes,no,1,yes
408,ME,55.36,yes,no,2,yes
409,RI,55.87,no,yes,2,no
410,MD,67.53,no,no,1,no
411,FL,49.949999999999996,yes,no,2,no
412,ME,52.82000000000001,yes,no,4,yes
413,SD,46.43,no,yes,3,no
414,MI,64.48,yes,no,1,yes
415,MI,61.92,yes,yes,0,no
416,NM,60.1,no,no,0,no
417,AK,49.57,no,no,1,no
418,OH,54.69,no,yes,2,no
419,MO,67.17,no,no,3,yes
420,KS,61.160000000000004,no,yes,1,no
421,MS,53.64,no,yes,5,yes
422,VT,47.56,no,yes,1,no
423,NE,64.03,no,no,3,no
424,VA,57.629999999999995,no,no,2,no
425,DE,65.35000000000001,no,yes,0,no
426,AL,68.4,yes,yes,0,yes
427,MS,51.01,no,no,2,no
428,OK,55.53,no,no,2,no
429,NM,55.32,no,no,1,no
430,WI,52.67,no,no,3,no
431,WV,63.46,no,no,1,no
432,SC,36.96,no,no,4,yes
433,KY,71.18,no,yes,7,no
434,MO,27.389999999999997,no,no,2,no
435,IL,56.959999999999994,no,no,1,no
436,MI,62.8,no,no,0,no
437,NJ,30.18,no,yes,0,no
438,ID,43.559999999999995,no,no,2,no
439,DC,49.53,yes,no,0,no
440,AL,56.83,no,no,2,no
441,OR,67.19,no,yes,2,no
442,OK,43.47,no,yes,1,no
443,NE,41.95,no,no,1,no
444,UT,49.309999999999995,no,yes,0,no
445,OR,63.15,no,no,0,no
446,NY,46.529999999999994,no,no,2,no
447,AL,43.41,no,yes,1,no
448,RI,55.5,no,yes,0,no
449,MN,73.85,yes,yes,9,yes
450,NC,66.89,no,no,3,no
451,MD,41.629999999999995,no,yes,3,no
452,RI,55.24,no,yes,1,no
453,WI,76.4,yes,no,2,yes
454,VT,46.349999999999994,yes,yes,5,yes
455,CT,49.44,no,yes,0,no
456,OK,66.64,no,yes,4,no
457,GA,79.57,no,no,3,yes
458,NE,51.169999999999995,no,yes,2,no
459,TX,61.88,no,yes,1,no
460,MT,62.53,no,no,2,yes
461,CO,47.9,no,no,2,no
462,VT,58.480000000000004,no,no,1,no
463,WY,64.35,no,yes,1,no
464,ID,43.5,no,no,1,no
465,CT,71.3,no,yes,2,no
466,ME,57.48,no,no,3,no
467,AZ,54.92,no,yes,2,no
468,MD,59.339999999999996,yes,no,2,no
469,IN,69.94,no,no,2,no
470,DE,56.019999999999996,no,no,1,no
471,MN,41.03,no,yes,2,no
472,WI,40.21,yes,no,1,no
473,FL,67.5,no,yes,3,no
474,WV,74.87,no,no,2,yes
475,SD,77.97000000000001,no,yes,1,no
476,OR,47.06999999999999,no,no,2,no
477,CO,57.25,no,yes,1,no
478,CT,68.64,no,yes,1,no
479,IN,76.19,no,no,1,yes
480,PA,60.3,no,yes,3,no
481,NM,48.720000000000006,no,no,1,no
482,ME,56.019999999999996,no,no,1,no
483,SD,73.0,no,no,0,yes
484,AR,32.43,no,no,1,no
485,TX,64.74000000000001,yes,no,1,no
486,NH,41.91,no,no,1,no
487,OK,45.01,no,no,5,yes
488,WI,37.769999999999996,no,yes,1,no
489,PA,47.26,no,no,1,no
490,OK,47.23,no,no,2,no
491,ME,64.44,no,yes,2,no
492,WV,60.87,no,no,2,no
493,MN,46.59,no,no,3,no
494,NY,46.58,no,no,2,no
495,OH,64.59,no,yes,0,no
496,MI,46.02,no,no,2,no
497,WV,55.05,no,no,1,no
498,MI,43.34,no,no,3,no
499,NM,55.66,no,no,1,no
500,MO,87.03,no,no,2,yes
501,RI,54.13,no,no,0,no
502,NC,45.08,no,yes,1,no
503,WY,62.46,no,no,0,no
504,KY,59.5,no,no,1,no
505,OR,55.24,no,no,4,no
506,NV,64.59,yes,yes,1,yes
507,DC,68.14,no,yes,2,no
508,UT,56.75,no,yes,1,no
509,WA,58.56999999999999,yes,yes,2,no
510,FL,55.629999999999995,no,no,3,no
511,VA,52.79,no,no,1,no
512,KS,77.89,yes,no,0,yes
513,KS,61.08,no,no,1,no
514,ME,53.56,no,yes,2,no
515,LA,61.019999999999996,no,no,3,no
516,DC,57.4,no,no,0,no
517,TX,50.29,no,no,3,no
518,NJ,62.41,yes,yes,0,yes
519,DE,68.42999999999999,no,no,4,no
520,VT,44.5,no,no,1,no
521,TX,57.78,no,no,0,no
522,MT,45.4,no,no,0,no
523,ND,46.77,no,yes,3,no
524,NJ,42.41,no,yes,2,no
525,MO,63.11,no,no,2,no
526,CO,54.13,no,yes,5,no
527,KS,50.0,no,no,1,no
528,NC,52.14,no,yes,0,no
529,MT,69.32000000000001,no,yes,1,no
530,DE,42.730000000000004,no,no,0,no
531,ND,51.49,no,no,2,no
532,VA,54.35,no,no,1,no
533,IL,59.17,no,no,0,no
534,OK,69.67,no,no,0,no
535,CO,63.3,no,yes,1,no
536,MT,65.24,no,yes,3,no
537,ME,50.49,no,no,1,no
538,WI,25.08,no,yes,0,no
539,MO,73.94,no,no,3,yes
540,NY,66.53999999999999,no,no,2,no
541,CT,61.790000000000006,no,no,1,no
542,WY,63.0,no,yes,3,no
543,CA,55.9,no,yes,1,no
544,CA,53.71,no,no,5,yes
545,MN,56.63,no,no,0,no
546,AK,56.379999999999995,no,no,2,no
547,VA,45.24,no,no,0,no
548,CO,43.53,no,no,1,no
549,MT,79.81,no,no,1,yes
550,SD,71.06,no,yes,1,no
551,VT,48.08,no,no,3,no
552,ND,59.9,no,no,1,no
553,GA,62.12,no,yes,2,no
554,OR,62.44,no,no,2,no
555,WY,64.64999999999999,no,no,1,no
556,GA,59.31,no,yes,0,no
557,WV,74.67,no,yes,1,no
558,IL,49.28,no,no,0,no
559,CO,51.93,no,no,3,no
560,DE,58.37,no,no,1,no
561,LA,64.03999999999999,no,no,1,no
562,IN,62.29,no,no,1,no
563,NY,56.65,no,no,0,no
564,TX,74.97,yes,no,1,yes
565,KS,57.60999999999999,no,no,1,no
566,WV,45.91,no,no,0,no
567,NE,61.97,no,yes,3,no
568,ND,56.7,no,no,1,no
569,AK,46.05,no,no,3,no
570,CO,31.54,no,yes,1,no
571,ME,63.11,no,no,3,no
572,SC,58.56999999999999,no,no,1,no
573,CO,64.08999999999999,no,no,1,no
574,MS,49.17999999999999,no,no,1,no
575,NE,63.730000000000004,no,no,4,no
576,NJ,53.91,no,yes,3,no
577,WI,57.54,no,no,6,no
578,MT,35.47,no,no,1,no
579,AR,53.17,no,no,1,no
580,WA,57.94,no,no,0,no
581,NH,64.65,no,no,0,no
582,IA,61.519999999999996,no,no,0,no
583,WV,36.05,no,no,0,no
584,RI,42.989999999999995,no,no,0,no
585,KS,57.39,no,no,1,no
586,MT,53.65,no,yes,1,no
587,MO,62.83,no,no,3,no
588,CO,62.0,no,no,1,no
589,CT,58.84,no,yes,3,no
590,ID,38.239999999999995,yes,yes,2,no
591,DC,56.4,no,no,2,no
592,TN,63.32000000000001,no,no,3,no
593,MO,36.58,no,no,2,no
594,VA,64.62,no,no,2,no
595,SD,55.74,no,yes,2,no
596,WV,69.92,yes,no,1,yes
597,GA,68.55999999999999,yes,yes,2,no
598,AZ,62.540000000000006,no,no,1,no
599,AK,53.71,no,no,1,no
600,AK,60.42,no,no,2,no
601,CT,54.94,no,yes,0,no
602,UT,36.71,no,yes,6,yes
603,KY,57.830000000000005,no,no,1,no
604,OR,57.57,no,yes,1,no
605,TN,52.83,no,no,2,no
606,WV,51.89,no,no,1,no
607,NJ,64.33,no,no,1,no
608,MS,69.58,no,yes,2,no
609,ME,58.33,no,yes,0,no
610,WY,73.29,no,no,3,yes
611,WY,70.25999999999999,no,no,2,no
612,IN,71.27,no,no,2,no
613,NJ,54.2,yes,yes,1,no
614,DC,39.04,yes,no,3,no
615,KY,49.66,yes,no,2,yes
616,MI,59.32000000000001,no,no,1,no
617,UT,62.57,no,yes,1,no
618,NE,35.29,no,no,0,no
619,FL,64.49,no,yes,5,no
620,LA,57.03,no,no,1,no
621,WA,55.11,no,yes,1,no
622,MI,46.2,no,no,1,no
623,KY,58.23,no,no,1,no
624,LA,65.96000000000001,no,no,1,no
625,AL,48.620000000000005,no,yes,3,no
626,MO,47.31,no,yes,0,no
627,CO,50.75,no,yes,3,no
628,TX,37.519999999999996,no,no,2,no
629,NY,57.46,no,no,1,no
630,WY,63.42999999999999,no,no,2,no
631,UT,48.68000000000001,no,no,1,no
632,LA,73.74000000000001,no,yes,2,no
633,NV,60.32,no,yes,2,no
634,NC,64.15,no,no,1,no
635,NC,60.07000000000001,no,no,2,no
636,WY,63.25999999999999,yes,no,1,no
637,TN,68.25,no,yes,0,no
638,FL,55.4,no,yes,0,no
639,PA,68.13,yes,no,0,yes
640,WV,62.28,no,yes,2,no
641,NJ,65.31,no,no,3,no
642,MT,59.599999999999994,no,no,1,no
643,MN,54.92,no,no,1,no
644,WI,42.29,yes,yes,5,yes
645,ID,59.45,no,no,0,no
646,MA,52.540000000000006,yes,no,1,yes
647,MT,54.660000000000004,no,no,1,no
648,AL,68.3,no,yes,0,no
649,ND,50.53,yes,yes,2,no
650,LA,57.61,no,yes,6,no
651,ND,65.5,yes,no,2,no
652,WV,50.629999999999995,yes,no,1,no
653,WI,66.16,no,yes,1,no
654,KS,37.769999999999996,yes,no,3,no
655,MO,70.77,no,yes,1,no
656,PA,67.62,no,no,3,no
657,NJ,71.11,no,no,2,yes
658,AL,52.56,no,no,2,no
659,ME,45.39,no,no,3,no
660,AZ,68.86,yes,yes,0,no
661,VT,55.28999999999999,no,no,2,no
662,NV,75.13999999999999,yes,yes,1,yes
663,HI,59.75,no,no,1,no
664,DE,63.53,no,no,1,no
665,AZ,49.18,no,yes,1,no
666,VA,52.83,yes,no,1,yes
667,GA,61.620000000000005,no,yes,2,no
668,AZ,47.45,no,yes,1,no
669,MN,71.27000000000001,no,yes,1,no
670,ME,67.14999999999999,no,no,1,no
671,FL,70.7,no,no,0,no
672,WA,70.07,no,no,1,no
673,MT,71.14,no,no,0,no
674,AL,56.099999999999994,no,no,0,no
675,GA,45.0,no,yes,1,no
676,DE,61.21,no,yes,1,no
677,NE,60.129999999999995,no,no,1,no
678,FL,57.03,no,no,0,no
679,AK,38.31,no,no,1,no
680,WI,61.64,no,no,0,no
681,WA,47.269999999999996,no,yes,1,no
682,KY,80.74,no,no,2,yes
683,OH,65.91,no,no,1,no
684,UT,42.04,no,no,2,no
685,NM,58.45,no,no,1,no
686,MN,52.660000000000004,no,no,1,no
687,WV,46.1,no,yes,2,no
688,MN,30.25,no,no,0,no
689,PA,43.769999999999996,no,yes,1,no
690,MO,55.45,no,no,1,no
691,FL,54.74,no,no,0,no
692,HI,59.84,no,no,2,no
693,ME,58.75,no,no,2,no
694,CO,47.33,yes,no,3,yes
695,NH,63.56999999999999,no,no,2,no
696,SC,80.6,no,no,2,yes
697,IN,61.31,no,no,0,no
698,FL,33.0,no,no,3,no
699,GA,33.05,no,no,1,no
700,IL,62.53,no,yes,0,no
701,NC,46.6,yes,yes,0,no
702,VT,70.38000000000001,no,yes,1,no
703,VT,50.01,no,no,3,no
704,NV,60.65,no,no,5,no
705,OR,44.81,yes,no,2,no
706,AL,56.74,no,no,1,no
707,ND,53.55,no,yes,1,no
708,NE,60.230000000000004,no,no,1,yes
709,ND,49.46,no,yes,1,no
710,ME,66.07000000000001,no,no,0,no
711,IL,61.239999999999995,no,no,2,no
712,WA,62.2,no,no,0,no
713,MA,55.16,yes,no,3,yes
714,KS,70.47,no,no,3,no
715,RI,54.660000000000004,no,no,3,no
716,IA,67.32,no,no,2,no
717,WY,51.15,no,no,1,no
718,NV,58.49,no,no,1,no
719,WI,57.230000000000004,no,yes,1,no
720,AL,76.32,no,no,3,yes
721,HI,55.64,no,no,2,no
722,MO,51.529999999999994,no,no,1,no
723,CA,55.84,no,yes,3,no
724,MO,58.06999999999999,no,no,1,no
725,CT,47.34,no,no,3,no
726,MD,57.190000000000005,no,no,4,no
727,OH,66.81,no,yes,0,no
728,NV,46.620000000000005,no,no,1,no
729,MD,60.36,no,no,0,no
730,NE,59.81,yes,no,2,no
731,OK,60.85,no,yes,1,no
732,MA,62.260000000000005,no,no,1,no
733,CO,55.540000000000006,no,no,1,no
734,FL,67.85,yes,no,1,no
735,WI,64.93,no,no,1,no
736,ID,72.42,no,yes,4,no
737,WY,54.03,no,no,1,no
738,FL,57.53,no,no,1,no
739,WY,48.650000000000006,no,no,1,no
740,DE,62.44,no,no,2,no
741,ME,72.59,no,yes,2,no
742,DC,43.199999999999996,no,yes,0,no
743,IA,61.660000000000004,no,no,1,no
744,MN,45.42,no,no,0,no
